Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,JLINT_LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
2,Communication,3.7,5000,35,3,0.0004252,46,12,6,2,0,2,5,4627,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,4,0,0,0,0,51.11111111
2,Entertainment,3.8,500000,1009,6,0.0019113,1402,600,233,0,2,2,0,135592,0,1,1,1,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,92
2,Personalization,4.3,10000,385,9,0.0018126,482,237,100,0,3,2,4,25709,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Tools,4.4,1000000,1948,12,0.0032788,2080,698,266,5,2,6,0,58220,1,0,1,1,0,0,0,0,0,0,1,7,0,1,0,7,0,0,0,0,51.11111111
2,Travel & Local,4.3,1000000000,6826,522,0.002405,9200,3359,1239,4,2,9,4,14009,0,1,1,1,0,0,0,0,0,0,8,6,0,1,0,14,0,0,1,2,81.53846154
2,Personalization,4.2,1000,1641,6,0.0011221,3770,2757,412,0,2,2,13,1727,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,92
2,Tools,4.3,5000000,2505,9,0.0030414,2983,1091,263,11,2,2,8,15434,1,1,1,1,0,0,0,0,0,0,14,6,2,1,4,23,3,0,1,2,100
2,Entertainment,4,500000,972,300,0.0150264,1620,632,251,3,5,5,4,20488,1,1,1,1,0,0,0,0,0,0,4,6,0,1,0,7,0,0,1,1,92
2,Education,3.8,100000,1337,12,0.0029065,1770,755,299,0,6,2,10,18177,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,92
2,Personalization,4.2,100000,824,9,0.0017205,1199,561,209,2,4,5,12,3532,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
2,Productivity,3.4,10000,78,6,0.0024633,165,56,23,1,1,3,1,3893,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0,50
2,Tools,3.6,500000,75,3466,0.0055361,73,0,0,0,1,2,19,17331,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
2,Education,4,5000,199,3,0.0042866,227,35,15,0,1,2,0,70931,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,4,0,0,0,0,51.11111111
2,Media & Video,4.3,50000,3043,15,0.0016485,5901,3978,766,1,1,5,0,63297,1,1,1,1,0,0,0,0,0,0,1,4,0,1,0,3,0,0,0,0,92
2,Sports,4,100000,420,56461,0.0030839,757,168,68,0,1,2,0,67369,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,2,0,0,0,1,51.11111111
2,Personalization,3.9,1000,815,12,0.0022687,1210,417,165,1,1,2,1,750,0,1,1,1,0,0,0,0,0,0,1,2,0,1,0,3,0,0,0,0,92
2,Communication,4.4,100000000,362,41630,0.0058869,515,111,44,2,1,5,3,2695,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,4,0,0,0,0,51.11111111
2,Puzzle,4.4,500000,1146,6,0.0036181,1644,489,188,0,3,2,3,2863,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,92
2,Productivity,3.5,1000,14,3,0.0013405,12,4,2,0,0,2,0,130009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Entertainment,3.9,1000,2868,9,0.0015818,5421,3691,704,1,2,2,9,23492,1,1,1,1,0,0,0,0,0,0,3,5,0,1,0,3,0,0,1,0,92
2,Health & Fitness,3.5,5000,1249,9,0.0030386,1962,841,205,2,1,2,0,53777,0,1,1,1,0,0,0,0,0,0,2,3,0,1,0,3,0,0,0,1,100
2,Personalization,4.3,1000,568,6,0.0017168,771,393,152,0,3,3,11,27745,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,51.11111111
2,Personalization,4.2,50000,1317,9,0.0029281,2214,686,271,1,3,4,0,56128,0,1,1,1,0,0,0,0,0,0,3,4,0,1,0,5,2,0,0,0,92
2,Health & Fitness,4.4,1000000,3164,27,0.004496,2791,772,276,1,6,2,0,69327,0,0,1,1,0,0,0,0,0,0,2,3,0,1,0,4,0,0,0,0,51.11111111
